  0.000000   0.000000
  0.204082   0.209516
  0.408163   0.248883
  0.612245   0.618221
  0.816327   0.597182
  1.020408   1.242080
  1.224490   0.835374
  1.428571   1.985885
  1.632653   1.656977
  1.836735   1.731347
  2.040816   2.514969
  2.244898   1.392144
  2.448980   2.162615
  2.653061   1.873637
  2.857143   1.894688
  3.061224   3.744284
  3.265306   4.468996
  3.469388   2.122912
  3.673469   4.921639
  3.877551   2.712081
  4.081633   4.338455
  4.285714   5.813265
  4.489796   5.861930
  4.693878   6.598242
  4.897959   6.346911
  5.102041   5.550386
  5.306122   4.361903
  5.510204   3.906864
  5.714286   5.981882
  5.918367   4.328631
  6.122449   9.138288
  6.326531   6.455171
  6.530612   7.690442
  6.734694   7.629806
  6.938776   6.273421
  7.142857   8.713113
  7.346939   9.230203
  7.551020   6.583836
  7.755102   6.756201
  7.959184   4.612371
  8.163265   8.301752
  8.367347   5.672256
  8.571429   5.338139
  8.775510   9.946426
  8.979592  11.428181
  9.183673  11.544584
  9.387755  13.929579
  9.591837  11.908205
  9.795918  13.660054
 10.000000  12.763193
